sigles,nom
AC,"Activitats Comercials"
ASIX,"Administració de Sistemes Informàtics en Xarxa"
AF,"Administració i Finances"
AVGE,"Agències de Viatges i Gestió d'Esdeveniments"
CETI,"Ciberseguretat en Entorns de les Tecnologies de la Informació"
CI,"Comerç Internacional"
CAE,"Cures Auxiliars d'Infermeria"
DAM,"Desenvolupament d'Aplicacions Multiplataforma"
DAW,"Desenvolupament d'Aplicacions Web"
GA,"Gestió Administrativa"
GAT,"Gestió d'Allotjaments Turístics"
GIAT,"Guia, Informació i Assistències Turístiques"
IABD,"Inteligència Artificial i Big Data"
LCB,"Laboratori Clínic i Biomèdic"
MP,"Màrqueting i Publicitat"
OPT,"Òptica i Protètica Ocular"
SMX,"Sistemes Microinformàtics en Xarxa"
