id_modul,id_cicle,promedio_nota,cantidad_estudiantes
0221,1,6.573333,75
0222,1,6.800000,75
0223,1,6.640000,75
0224,1,7.120000,25
0225,1,6.506667,75
0226,1,6.520000,25
0227,1,6.440000,25
0228,1,6.840000,25
0229,1,6.520000,75
0230,1,6.400000,25
0231,1,6.880000,25
0369,2,6.700000,50
0370,2,6.640000,50
0371,2,6.240000,50
0372,2,6.340000,50
0373,2,6.460000,150
0373,3,6.460000,150
0373,4,6.460000,150
0374,2,6.280000,25
0375,2,6.240000,25
0376,2,6.400000,25
0377,2,6.520000,25
0378,2,7.120000,25
0379,2,6.520000,25
0380,2,7.180000,50
0381,2,6.840000,25
0382,2,6.880000,25
0483,3,6.590000,100
0483,4,6.590000,100
0484,3,6.460000,100
0484,4,6.460000,100
0485,3,6.730000,100
0485,4,6.730000,100
0486,3,7.200000,25
0487,3,6.550000,100
0487,4,6.550000,100
0488,3,6.960000,25
0489,3,7.040000,25
0490,3,6.680000,25
0491,3,6.640000,25
0492,3,6.080000,25
0493,3,6.880000,50
0494,3,5.800000,25
0495,3,6.240000,25
0612,4,7.120000,25
0613,4,6.800000,25
0614,4,6.640000,25
0615,4,6.600000,25
0616,4,6.520000,25
0617,4,6.440000,50
0618,4,6.160000,25
0619,4,5.880000,25
CV0001,1,6.480000,75
CV0002,1,6.760000,25
CV0003,2,6.306667,150
CV0003,3,6.306667,150
CV0003,4,6.306667,150
CV0004,2,6.720000,75
CV0004,3,6.720000,75
CV0004,4,6.720000,75
